no,업력,지역,업종,멘토링,세무,신용등급,이행보증,연계지원,자금,절차간소화
1,1년미만,경북,섬유,3,3,4,4,4,4,4
2,5년미만,경기 ,전자,3,2,4,3,4,5,5
3,3년미만,서울,유통,3,3,3,3,3,3,3
4,3년미만,서울,기타,4,3,4,5,4,5,3
5,3년미만,서울,정보,4,4,4,3,4,5,5
6,3년미만,강원,유통,3,3,3,3,3,3,3
7,1년미만,경기 ,잡화,,,,5,,4,4
8,3년미만,서울,정보,5,3,4,5,5,5,4
9,3년미만,경기 ,정보,5,5,5,5,5,5,5
10,1년미만,경기 ,금속,5,4,4,4,4,5,3
11,5년미만,서울,기계,4,3,5,3,4,5,4
12,3년미만,경기 ,유통,1,4,4,4,4,4,4
13,1년미만,경기 ,금속,3,2,4,3,3,4,4
14,3년미만,인천,전기,2,3,3,4,4,5,4
15,1년미만,경기 ,전자,4,4,5,4,5,5,5
16,1년미만,대구,잡화,4,5,5,3,5,5,4
17,7년미만,전북,정보,5,4,4,4,5,5,5
18,1년미만,경북,식료,5,5,5,5,5,5,4
19,3년미만,경기 ,전자,3,2,5,5,4,5,4
20,3년미만,서울,화공,4,3,5,5,5,5,5
21,3년미만,서울,전기,4,3,4,4,5,5,5
22,3년미만,부산,기타,4,4,3,3,4,4,3
23,3년미만,충북,식료,1,1,2,5,5,5,5
24,3년미만,경남,식료,5,5,5,5,5,5,5
25,1년미만,강원,식료,4,4,5,5,5,5,5
26,7년미만,서울,정보,3,3,5,4,5,5,4
27,3년미만,대구,금속,5,5,5,5,5,5,5
28,1년미만,대전,유통,5,4,4,3,4,3,3
29,5년미만,경기 ,유통,5,5,5,5,5,5,5
30,3년미만,서울,유통,5,5,5,5,5,5,3
31,7년미만,경기 ,기타,4,4,5,5,5,5,5
32,1년미만,인천,기계,5,5,5,5,5,5,5
33,7년미만,강원,유통,4,4,4,4,4,4,4
34,3년미만,충남,기계,4,4,4,4,4,4,4
35,5년미만,경기 ,유통,5,,5,5,4,4,3
36,5년미만,대구,섬유,3,3,3,3,3,3,3
37,3년미만,경남,식료,5,4,5,5,5,5,4
38,3년미만,경기 ,금속,4,5,5,5,5,5,5
39,3년미만,서울,정보,3,3,5,5,5,5,5
40,1년미만,경북,식료,5,5,5,5,5,5,5
41,5년미만,충북,기계,4,5,5,4,5,5,5
42,5년미만,대구,전자,3,3,3,3,3,3,3
43,7년미만,서울,유통,,,,,,5,
44,1년미만,서울,정보,2,4,4,4,4,5,5
45,1년미만,서울,잡화,4,4,4,4,5,5,4
46,1년미만,전북,화공,4,3,4,3,4,5,5
47,3년미만,서울,유통,4,4,4,4,4,5,4
48,3년미만,경기 ,전기,4,3,4,5,4,5,4
49,7년미만,전북,금속,4,4,4,4,4,4,4
50,1년미만,서울,기타,4,3,4,4,4,4,
51,1년미만,경기 ,기계,4,4,4,5,5,5,5
52,1년미만,대구,식료,4,3,3,4,4,5,3
53,3년미만,전북,기타,4,4,4,5,5,5,5
54,3년미만,강원,식료,4,4,5,4,5,5,5
55,1년미만,경남,금속,3,4,4,3,3,4,4
56,1년미만,경기 ,화공,3,3,3,3,3,3,3
57,7년미만,울산,잡화,5,2,2,3,4,3,3
58,1년미만,서울,유통,2,2,4,4,5,5,5
59,1년미만,경북,전자,5,5,5,5,5,5,5
60,3년미만,경기 ,잡화,2,2,5,5,5,5,5
61,3년미만,경기 ,유통,5,5,4,4,5,5,5
62,1년미만,경북,금속,4,3,3,3,2,3,3
63,3년미만,경기 ,화공,3,4,4,2,4,4,4
64,5년미만,경기 ,금속,4,4,4,4,4,4,4
65,3년미만,경북,유통,5,4,4,4,4,5,5
66,3년미만,대전,기타,4,4,5,5,5,5,5
67,1년미만,서울,기타,4,4,5,5,5,5,5
68,3년미만,서울,기타,4,2,5,5,5,5,5
69,3년미만,광주,기계,4,4,4,4,4,4,4
70,1년미만,서울,섬유,4,3,4,4,3,4,4
71,1년미만,서울,정보,5,5,5,5,5,5,5
72,3년미만,경기 ,금속,3,3,5,4,4,5,4
73,3년미만,대구,금속,5,3,4,5,5,5,4
74,1년미만,경기 ,유통,5,,5,5,5,5,
75,3년미만,서울,유통,4,4,4,4,4,4,4
76,5년미만,경기 ,유통,4,4,5,4,4,5,4
77,3년미만,서울,정보,4,3,3,4,4,5,4
78,3년미만,경기 ,기계,5,4,5,5,5,5,4
79,5년미만,경기 ,식료,4,5,5,4,5,5,5
80,1년미만,서울,정보,2,2,4,4,5,5,5
81,1년미만,서울,금속,3,3,3,3,5,5,
82,3년미만,서울,유통,4,4,4,4,4,4,4
83,3년미만,서울,기계,4,4,4,3,4,4,4
84,1년미만,서울,잡화,4,3,5,5,4,4,4
85,5년미만,서울,전자,3,3,3,3,3,4,3
86,3년미만,서울,금속,3,3,3,3,3,3,3
87,5년미만,충남,기계,5,3,3,5,5,5,5
88,1년미만,경남,섬유,5,5,5,,5,5,5
89,7년미만,경북,잡화,4,4,4,4,4,4,4
90,3년미만,서울,정보,4,4,4,4,4,4,4
91,1년미만,경기 ,잡화,5,2,5,3,5,5,5
92,1년미만,충북,금속,4,5,4,4,5,4,4
93,3년미만,서울,유통,5,4,4,5,5,5,5
94,5년미만,서울,잡화,4,4,4,4,4,4,4
95,1년미만,경기 ,잡화,5,4,5,4,4,5,3
96,7년미만,경기 ,정보,3,3,3,3,3,3,3
97,3년미만,서울,정보,2,3,,2,3,3,3
98,1년미만,강원,기계,4,4,5,4,3,5,4
99,5년미만,서울,유통,3,3,3,3,3,3,3
100,1년미만,경기 ,화공,5,4,5,5,5,5,5
101,3년미만,충남,화공,5,5,5,4,4,5,5
102,3년미만,서울,유통,3,3,4,4,4,5,4
103,1년미만,경북,전자,4,4,4,4,4,4,4
104,3년미만,충북,기계,4,4,4,3,4,4,4
105,3년미만,경북,전자,4,5,5,5,4,5,5
106,5년미만,전북,금속,5,5,5,5,5,5,5
107,3년미만,전북,화공,5,4,5,5,4,5,5
108,5년미만,경남,금속,3,2,2,3,2,3,4
109,3년미만,서울,유통,3,3,3,4,3,4,4
110,1년미만,경기 ,잡화,3,2,4,4,3,5,4
111,7년미만,경기 ,잡화,5,5,5,5,5,5,5
112,5년미만,경기 ,전기,4,4,4,3,3,3,5
113,3년미만,충남,전자,5,5,5,5,5,5,5
114,3년미만,경기 ,기타,5,5,5,5,5,5,5
115,3년미만,경남,기계,4,4,4,4,4,5,4
116,3년미만,경북,금속,2,,2,2,3,,
117,1년미만,경기 ,기계,3,3,3,4,4,4,3
118,5년미만,경기 ,기계,5,5,5,5,5,5,5
119,3년미만,경기 ,유통,5,3,5,5,5,5,4
120,3년미만,경기 ,잡화,5,4,5,5,5,5,5
121,5년미만,울산,기계,5,5,5,5,4,5,5
122,1년미만,강원,식료,5,5,5,5,5,5,5
123,5년미만,대전,기계,4,3,3,3,3,3,3
124,3년미만,경기 ,기계,1,3,1,1,1,1,1
125,5년미만,세종,잡화,4,4,5,4,5,5,4
126,1년미만,경기 ,잡화,4,4,4,4,4,4,4
127,1년미만,서울,유통,1,1,1,1,1,1,3
128,3년미만,경북,식료,4,3,4,4,4,5,5
129,5년미만,서울,섬유,4,4,4,4,3,5,4
130,1년미만,경북,전기,5,4,4,3,3,5,5
131,5년미만,경기 ,전기,4,4,4,4,5,5,5
132,3년미만,서울,섬유,4,4,4,4,4,4,4
133,3년미만,경기 ,화공,3,3,4,4,4,4,4
134,1년미만,전북,기계,2,2,2,4,3,5,3
135,5년미만,경북,기계,5,5,5,5,5,5,5
136,3년미만,경기 ,유통,4,,3,3,,3,3
137,3년미만,광주,기계,5,5,5,5,5,5,5
138,3년미만,경기 ,기계,5,4,3,3,3,4,4
139,3년미만,전남,유통,5,4,5,5,4,4,5
140,1년미만,경기 ,잡화,3,4,4,4,3,4,4
141,1년미만,충북,기계,4,4,4,4,4,4,4
142,5년미만,전북,잡화,,,4,4,,4,
143,1년미만,서울,잡화,4,2,3,5,4,5,4
144,7년미만,충북,전기,4,4,4,4,4,4,4
145,3년미만,대전,잡화,4,4,4,4,4,4,4
146,1년미만,경기 ,잡화,4,4,3,4,3,4,3
147,3년미만,부산,섬유,3,3,3,3,3,3,3
148,3년미만,대구,금속,4,5,5,5,5,5,5
149,5년미만,전북,기계,5,5,5,5,5,5,5
150,3년미만,대구,식료,2,3,4,4,4,5,4
151,5년미만,대전,기타,2,2,4,4,4,5,5
152,3년미만,대구,유통,4,4,4,5,4,5,4
153,3년미만,전남,잡화,4,3,3,5,5,5,5
154,7년미만,서울,유통,3,2,4,4,4,5,5
155,1년미만,경기 ,금속,5,5,3,4,5,4,4
156,3년미만,부산,식료,4,4,4,4,3,4,4
157,5년미만,경기 ,기계,4,4,4,4,4,5,5
158,3년미만,서울,기계,2,2,3,3,5,4,4
159,3년미만,강원,정보,4,3,3,3,4,5,5
160,5년미만,대구,잡화,5,4,5,4,5,5,5
