weather,atemp,humidity,windspeed,count
1,21.21,77,19.0012,84
2,16.665,66,19.9995,93
2,9.09,59,23.9994,98
1,6.82,37,30.0026,83
1,11.365,48,15.0013,89
1,10.605,41,19.0012,104
2,9.85,47,8.9981,80
3,11.365,100,11.0014,52
1,16.665,46,0.0,174
1,13.635,39,31.0009,120
1,15.91,32,31.0009,152
1,21.97,18,32.9975,119
2,21.97,67,16.9979,167
2,22.725,94,22.0028,79
1,15.91,53,19.0012,158
1,22.725,38,26.0027,194
1,22.725,33,27.9993,267
3,16.665,81,8.9981,184
1,21.97,38,19.0012,313
2,17.425,81,8.9981,202
2,21.21,88,8.9981,230
1,25.0,55,19.0012,200
2,22.725,88,39.0007,32
1,22.725,38,26.0027,354
2,23.485,77,7.0015,281
1,31.06,40,12.998,373
1,31.06,46,6.0032,382
3,25.0,100,6.0032,279
1,29.545,73,19.9995,367
1,31.82,32,11.0014,420
2,30.305,69,7.0015,335
1,37.88,55,15.0013,347
1,37.88,46,0.0,420
1,34.85,66,6.0032,420
2,34.09,55,6.0032,396
1,35.605,30,8.9981,374
1,37.88,55,7.0015,404
2,35.605,52,0.0,447
1,36.365,46,16.9979,366
1,37.88,46,19.0012,377
1,34.09,43,19.0012,463
1,34.85,55,19.0012,420
1,37.88,55,15.0013,382
1,42.425,42,19.9995,370
2,29.545,89,11.0014,421
2,33.335,79,15.0013,281
1,32.575,61,15.0013,257
1,36.365,66,11.0014,435
2,34.09,70,12.998,353
1,34.09,62,15.0013,404
1,32.575,65,0.0,411
2,25.0,67,15.0013,372
1,25.76,64,8.9981,364
2,20.455,82,16.9979,158
2,20.455,62,12.998,321
1,31.06,35,0.0,446
1,31.06,44,6.0032,455
2,32.575,48,6.0032,365
1,27.275,35,36.9974,456
1,27.275,35,16.9979,444
1,17.425,46,11.0014,372
1,21.97,54,0.0,346
1,14.395,42,31.0009,239
1,21.97,44,19.0012,366
2,25.0,29,27.9993,354
1,20.455,35,19.0012,311
1,18.94,50,0.0,358
1,17.425,81,11.0014,329
1,14.395,45,27.9993,283
1,15.15,35,0.0,288
2,12.88,45,19.0012,244
1,12.88,60,15.0013,228
1,20.455,62,19.0012,201
1,13.635,36,16.9979,202
1,20.455,43,15.0013,376
1,19.695,43,15.0013,351
1,10.605,41,16.9979,219
1,8.335,40,19.9995,234
1,9.09,55,22.0028,185
2,15.91,70,6.0032,300
2,12.88,65,12.998,248
2,12.88,81,11.0014,221
1,3.79,39,43.0006,140
1,17.425,43,12.998,369
2,13.635,52,16.9979,255
2,21.21,67,16.9979,299
1,15.15,42,23.9994,327
1,13.635,33,22.0028,329
1,20.455,37,19.9995,410
1,26.515,68,11.0014,651
2,21.97,88,8.9981,503
2,21.21,67,15.0013,445
1,22.725,23,26.0027,590
1,25.76,24,16.9979,457
1,27.275,35,16.9979,678
1,31.06,44,19.0012,635
1,31.82,57,16.9979,271
1,33.335,58,7.0015,550
2,30.305,64,6.0032,558
1,31.06,36,11.0014,559
1,31.06,57,15.0013,531
1,31.06,36,0.0,642
1,31.06,43,23.9994,668
1,31.06,39,19.9995,684
1,34.85,29,16.9979,531
1,35.605,30,0.0,502
1,31.82,41,7.0015,603
1,31.06,57,0.0,615
1,40.91,37,15.0013,433
1,39.395,41,15.0013,494
1,43.18,31,23.9994,342
1,44.695,42,12.998,376
2,34.85,66,6.0032,499
1,38.635,47,7.0015,489
1,39.395,40,23.9994,547
1,40.15,47,35.0008,491
1,35.605,58,15.0013,546
1,33.335,42,12.998,505
1,33.335,37,12.998,654
3,30.305,73,0.0,298
2,37.88,55,11.0014,471
3,34.85,70,0.0,545
2,35.605,62,19.9995,543
1,37.88,55,32.9975,694
1,31.06,47,0.0,757
1,31.06,36,23.9994,706
1,31.06,44,11.0014,656
1,32.575,54,7.0015,743
2,21.21,71,0.0,392
2,21.21,63,11.0014,341
1,21.97,35,0.0,573
1,31.06,46,22.0028,562
2,15.91,46,31.0009,394
1,19.695,46,15.0013,504
1,23.485,48,0.0,606
1,24.24,48,6.0032,585
1,26.515,64,15.0013,419
1,20.455,40,11.0014,476
1,20.455,62,19.0012,442
2,16.665,81,6.0032,446
2,16.665,81,11.0014,520
2,20.455,87,15.0013,486
2,20.455,82,19.9995,315
1,19.695,50,6.0032,453
2,19.695,82,12.998,417
